date,Language,Media,Date,Title,Url,Prelim-Rating,Rating,Oped/Non oped,Text
2024-08-28 8:19:38,en,indiatimes.com,2024-08-28,FM Nirmala Sitharaman's Budget 2024 outlines vision for Viksit Bharat,https://timesofindia.indiatimes.com/business/india-business/fm-nirmala-sitharamans-budget-2024-outlines-vision-for-viksit-bharat/articleshow/112857910.cms,Center,Center-Right,,
2024-08-21 11:24:54,en,news18.com,2024-08-21,"Income Tax Slabs Post Budget 2024: New Tax Regime Vs Old Tax Regime, Which One Is Beneficial for You?",https://www.news18.com/business/tax/income-tax-slabs-post-budget-2024-new-tax-regime-vs-old-tax-regime-which-one-is-beneficial-for-you-9022197.html,Left,Center,,"With the announcement of the full Union Budget 2024-25, taxpayers in India are once again faced with the decision of choosing between the new tax regime and the old tax regime. Though the latest Budget has made the new tax regime more attractive, experts said it should still be seen on a case-by-case basis. Here’s the comparison of the income tax slabs under the new and old tax regimes for FY 2024-25, and which is more beneficial for different types of taxpayers.
New Tax Regime (FY 2024-25)

The new tax regime, introduced in the Budget 2020, aims to simplify the tax structure by offering lower tax rates while eliminating most deductions and exemptions. Here are the revised income tax slabs under the new tax regime for FY 2024-25:

Income up to ₹3 lakh: Nil
₹3 lakh – ₹7 lakh: 5%
₹7 lakh – ₹10 lakh: 10%
₹10 lakh – ₹12 lakh: 15%
₹12 lakh – ₹15 lakh: 20%
Above ₹15 lakh: 30%
2. Old Tax Regime (FY 2024-25)

The old tax regime allows taxpayers to claim various deductions and exemptions, such as HRA, LTA, and Section 80C, among others. The income tax slabs under the old tax regime for FY 2024-25 are as follows:

Income up to ₹2.5 lakh: Nil
₹2.5 lakh – ₹5 lakh: 5%
₹5 lakh – ₹10 lakh: 20%
Above ₹10 lakh: 30%
New Tax Regime vs Old Tax Regime: Which is Beneficial for You?

1. For Low-Income Earners (Up to Rs 5 Lakh)

“For individuals with an annual income of up to Rs 5 lakh, both regimes offer similar tax benefits due to the standard deduction under the old regime and the basic exemption limit in the new regime. However, the new tax regime might be slightly more advantageous due to its lower tax rates,” a tax expert said.

2. For Middle-Income Earners (Rs 5 Lakh – Rs 10 Lakh)

Middle-income earners who have limited investments and do not claim multiple deductions might find the new tax regime more beneficial due to its lower tax rates. On the other hand, those who extensively utilize deductions under Section 80C, 80D, and HRA may save more under the old tax regime, he added.

3. For High-Income Earners (Above Rs 10 Lakh)

“High-income earners who have significant investments and claim numerous deductions will likely benefit more from the old tax regime. The higher tax rates in the new regime may offset any savings made through lower tax rates if deductions are not claimed,” the tax expert said.

4. For Salaried Individuals

Salaried individuals with substantial exemptions like HRA, standard deduction, and Section 80C investments may find the old tax regime more favorable. The new tax regime, although simpler, may not offer the same level of tax savings for those who maximise their deductions, he said.

The expert, however, added that if no or very less investments or deduction options are available, the new tax regime is beneficial for salaried individuals also, he added.

“It is necessary to do a computation on both the regimes to conclude which regime is better for salaried individuals. However, for those who have no investments, the new tax regime is better,” he said.

5. For Self-Employed Individuals
Self-employed individuals with fewer opportunities to claim deductions may find the new tax regime more appealing. The lower tax rates and simplified structure can lead to significant tax savings for those who do not have substantial investments in tax-saving instruments.

“The choice between the new tax regime and the old tax regime for FY 2024-25 depends largely on the taxpayer’s income level, investment habits, and financial goals. While the new tax regime offers simplicity and lower rates, the old regime provides substantial savings through deductions and exemptions. Taxpayers should carefully evaluate their financial situation and consult a tax advisor if necessary to make the best decision,” the tax expert said."
2024-08-16 6:26:38,en,hindustantimes.com,2024-08-16,"Budget 2024–25: Empowering women, advancing social justice",https://www.hindustantimes.com/ht-insight/economy/budget-2024-25-empowering-women-advancing-social-justice-101723786176612.html,,Right,Oped,"The Union Budget 2024–25 epitomises the government’s commitment to balancing high capital expenditures with robust welfare spending. This budget is designed to empower every section of society, driving socio-economic growth and development across the nation. It will empower every section of society. It reflects the government's dedication to ensuring that all Indians, irrespective of religion, caste, gender, and age, make substantial progress in realising their life goals and aspirations. The government has placed a strong emphasis on inclusive growth, focusing on four major segments of society: Garib (poor), Mahilayen (women), Yuva (youth), and Annadata (farmers).


Despite global economic uncertainties, including elevated asset prices, political instability, and shipping disruptions, India’s economic growth remains a beacon of stability. India's inflation remains low and stable, moving towards the 4% target, with core inflation (non-food, non-fuel) currently at 3.1%. Proactive government steps to ensure adequate market supplies of perishable goods have contributed significantly to this stability.
The budget marks a significant stride in promoting socio-economic development, with a strong focus on women's empowerment and social justice. The ministry of women and child development's budget has increased by 3%, from ₹25,449 crore in FY 23–24 to ₹26,092 crore in FY 24–25. Meanwhile, the department of social justice and empowerment has seen a substantial 32% increase, from ₹9,853 crore in FY 23–24 to ₹13,000 crore in FY 24–25. The budget for the department of empowerment of persons with disabilities remains unchanged at ₹1,225 crore.

The government has allocated over ₹3 lakh crore for schemes benefiting women and girls, aiming to foster women-led development. This historic allocation emphasises the government's commitment to empowering women and enhancing their role in the workforce. Key initiatives include the establishment of working women hostels in collaboration with industry partners and the creation of creches to facilitate higher participation of women in the workforce. These hostels will provide safe and convenient living arrangements for working women, while creches will support working mothers by offering reliable childcare services.

Furthermore, the government plans to partner with industries to organise women-specific skilling programmes and promote market access for women-led Self-Help Group (SHG) enterprises. These initiatives are designed to equip women with the skills needed to thrive in the workforce and support their entrepreneurial ventures, thereby driving economic growth and development.
To achieve social justice comprehensively, the government will adopt a saturation approach, ensuring that all eligible individuals are covered by various programmes, including those focused on education and health. This approach aims to empower marginalised communities by improving their capabilities and providing them with the tools needed to succeed.

Mission Shakti, a flagship initiative aimed at the empowerment of women, comprises two key components: Sambal and Samarthya. The budget for Sambal, which includes schemes for the safety and security of women, has increased from ₹462 crore in FY 23–24 to ₹629 crore in FY 24–25. This funding boost will enhance efforts to protect women from violence and ensure their safety in public and private spaces.

Samarthya, focused on the empowerment of women, has seen its allocation rise from ₹1,864 crore in FY 23–24 to ₹2,517 crore in FY 24–25. This increased funding will support various initiatives aimed at empowering women through education, skill development, and economic opportunities. By investing in these programmes, the government is fostering an environment where women can thrive and contribute to the nation's growth.

The government is committed to all-round and all-inclusive development, with a particular focus on enhancing welfare programmes for marginalised communities and improving infrastructure for social services. Central sector schemes, such as the Scholarships for Higher Education for Young Achievers Scheme for Scheduled Castes, are among the focus areas of the budget. These initiatives aim to provide educational opportunities and support to underprivileged communities, enabling them to break the cycle of poverty and achieve their full potential.

The budget underscores the government's dedication to women's empowerment and social justice. With the highest allocation for women-centric schemes in over a decade, the budget reflects a clear vision of women-led development and economic empowerment. By increasing the participation of women in the workforce, providing skilling programmes, and enabling greater market access for women SHGs, the government is paving the way for a more inclusive and equitable society.

In addition to empowering women, the budget's focus on social justice initiatives ensures that marginalised communities receive the support they need to thrive. The increased funding for critical programmes and the adoption of a comprehensive approach to social justice demonstrate the government's commitment to creating a more just and equitable society for all.

As India continues to progress towards becoming a developed nation, the budget serves as a testament to the government's unwavering commitment to fostering inclusive growth and empowering all citizens, regardless of their gender or socio-economic status"
2024-08-14 15:35:29,en,indianexpress.com,2024-08-14,The issue of structural unemployment and the Union Budget 2024,https://indianexpress.com/article/upsc-current-affairs/upsc-essentials/structural-unemployment-and-the-union-budget-2024-upsc-9513711/,Left,,,
2024-08-11 5:20:32,en,hindustantimes.com,2024-08-11,Budget 2024-25: India's energy transition plan,https://www.hindustantimes.com/ht-insight/economy/budget-2024-25-indias-energy-transition-plan-101723285508424.html,,Center,,"India, targeting a $7 trillion economy and decarbonisation target by achieving 500 GW of fossil-fuel free generating capacity by 2030, needs a well-rounded strategy that harmonises economic development with environmental sustainability. To reach India’s goal of achieving 50 percent of its total installed power generation capacity come from non-fossil fuel sources by 2030, India must install approximately 50 gigawatts (GW) of renewable energy capacity annually for the next five years, starting in 2024. Currently, India has only been able to add around 15 GW per year. The union budget 2024-25 identified energy as a priority sector, with an overall allocation of an estimated ₹68,769 crores, a significant decrease from the previous year's allocation of ₹94,915 crores. The budget emphasises the development of new strategies for strengthening the transition to renewable energy sources and promoting energy security in terms of “accessibility, affordability, and availability.”

Wind energy plant (AP)
Wind energy plant (AP)
The Union budget has announced several initiatives including pumped storage, nuclear and thermal plants. The growth of nuclear energy in the form of small modular reactors has been emphasised, with the government planning to make it a significant portion of the energy mix for Viksit Bharat. To facilitate this, the government plans to partner with the private sector to set up Bharat Small Reactors and aims to enhance the research and development of Bharat Small Modular Reactors and newer nuclear technologies.

Although small modular reactors represent an opportunity for India to augment its energy capacity, its development along the lines of accessibility, affordability and availability could pose challenges in future, raising questions about the feasibility of the initiative. Estimates by Now Solar, an India focused renewable energy advisory and management organisation, indicate that small modular nuclear reactors are expected to be the most costly source of power and are unlikely to be available before 2030. Although a bold initiative aimed at expanding the nuclear energy component in the energy mix of India, questions regarding its economic viability remain unanswered. Over the years, nuclear policies have predominantly centred on large nuclear reactors, with no initiatives in place to foster demand and create a level playing field for new market entrants. Additionally, some nuclear reactors are under International Atomic Energy Agency Safeguards due to their use of imported uranium. Without policies to stimulate market demand, this initiative risks becoming another failure. Programmes and schemes aimed at gradually phasing out fossil fuels such as harnessing of wind energy and integration of compressed biogas into the natural gas failed to receive a mention in the budget speech. The focus on nuclear energy also raises questions on the potential sidelining of such projects in the future. 

The interim budget included numerous announcements to promote green growth, with rooftop solarisation receiving a modest mention. In line with the interim budget announcement, the Pradhan Mantri Surya Ghar Muft Bijli Yojana was launched to install rooftop solar plants in 1 crore households, providing up to 300 units of free electricity per month. This scheme has seen significant interest, with over 1.28 crore registrations and 14 lakh applications, as disclosed by the finance minister in the recent budget speech. The applications received account for only about 11% of total registrations, largely because the final approval for installing solar rooftops lies with the respective state electricity boards. The capacity of solar plants depends on the transformer capacity of the area, making it challenging for state electricity boards to approve the applications. The state electricity boards, with their existing grid capacity, will not be able to approve the installations until there is an upgrade in the grid infrastructure.

The celebrated FAME Scheme, which has significantly multiplied electric vehicle (EV) registrations in the country to over 13 lakhs, is seeing a reduction in budget allocation. According to the budget estimates, the allocation for the upcoming fiscal year is 2,671 crores, as against 5,171 crores in the previous financial year. However, players can breathe a sigh of relief with the exemption of customs duties on lithium and cobalt, the two main components for lithium-ion batteries. This could pave the way for localised manufacturing of batteries for electric vehicles, significantly reducing production costs and eventually making the process more cost-effective. While the boost for incentives for electric vehicles is beneficial in cutting down the tail-end emissions, there is a downside. With the increasing private vehicular population, governments often overlook the importance of public transport, particularly the rollout of electric buses. The allocations for electric buses in the union budget remained the same as those in the interim budget. To reduce overall private vehicle congestion and address vehicular pollution, there should be more focus on promoting electric buses compared to private electric vehicles. Increasing the number of buses and reducing private vehicle use can lead to a reduction in overall emissions.
Overall, while promoting economic growth along with a phased transition to renewable energy sources, presents opportunities for making India a hub of energy security by 2030, a much-anticipated year in the discourse of global sustainable development. However, the budget seems to fall short in providing clear insights into the prolonged advancement of the anticipated schemes. There is uncertainty whether these schemes will achieve their intended long-term goals due to the absence of continued and sustainable allocations in the budget. The prospect of nuclear energy gaining a focal point over the other established sources of renewable energy, despite concerns about its cost, availability and safety exemplifies the same. The inconsistent allocations across different schemes create confusion, creating a disconnect between the energy aspirations and the pronounced goals. While the budget speaks of new volumes for the advancement of sustainability, the success of the various announced schemes can only be determined with time. "
2024-08-09 10:22:21,en,indiatimes.com,2024-08-09,Get over LTCG tax shock! 9 booster dosages in Budget 2024 that will reward equity investors handsomely in the long run,https://economictimes.indiatimes.com/wealth/invest/get-over-ltcg-tax-shock-9-booster-dosages-in-budget-2024-that-will-reward-equity-investors-handsomely-in-the-long-run/articleshow/112399195.cms,Center,Center-Right,,
2024-08-06 12:36:58,en,indiatimes.com,2024-08-06,"Budget 2024 has nothing for middle class, says Congress MP as Lok Sabha takes up Finance Bill",https://economictimes.indiatimes.com/news/politics-and-nation/budget-2024-has-nothing-for-middle-class-says-congress-mp-as-lok-sabha-takes-up-finance-bill/articleshow/112319335.cms,Center,Center-Left,,
2024-08-06 6:22:28,en,indiatimes.com,2024-08-06,Budget 2024 proposed 10% TDS on government bonds: You can still pay lower or zero TDS with this certificate,https://economictimes.indiatimes.com/wealth/tax/budget-2024-proposed-10-tds-on-government-bonds-you-can-still-pay-lower-or-zero-tds-with-this-certificate/articleshow/112290303.cms,Center,,,
2024-08-05 6:31:16,en,hindustantimes.com,2024-08-05,Budget 2024: How removing indexation benefits for capital gains tax on property may impact the Mumbai real estate market,https://www.hindustantimes.com/real-estate/budget-2024-how-removing-indexation-benefits-for-capital-gains-tax-on-property-may-impact-the-mumbai-real-estate-market-101722826702109.html,,Center-Right,,"
Mumbai’s resale real estate market is expected to feel the pinch with Budget 2024-2025 doing away with the indexation benefit on long-term capital gains (LTCG) on sale of property. (Picture for representational purposes)(Mehul R Thakkar/HT)
According to experts, the Mumbai real estate market is primarily led by buyers who sell small units to upgrade to larger homes. This coupled with the performance of the stock market and the upcoming assembly elections in the state may lead to property transactions cooling off in Mumbai.
Union Budget 2024-2025 proposals
Union Finance Minister Nirmala Sitharaman on July 24 had proposed to do away with the indexation benefit on sale of property, that allowed home owners the benefit of adjusting their gains against inflation. This, say real estate experts, may lead to higher tax burden on real estate transactions and severely impact property sellers.

The long-term capital gains (LTCG) has been reduced from 20% with indexation benefit to 12.5% without indexation for the real estate sector.

What is indexation?
Indexation allows one to adjust the purchase price of an asset for inflation, reducing taxable profits and tax liabilities. Without this adjustment, individuals paying tax may have to pay increased taxes despite the lower LTCG rate.
What does this mean for the Mumbai real estate market?
According to real estate experts, removal of indexation will slow down sales in the secondary market, also known as resale market in metro cities, including the Mumbai real estate market.

""The overall real estate market in Mumbai and other metro cities might be affected wherein resale transactions may slow down in the secondary market, not only in Mumbai but also in other metro cities. The mid-segment market, specifically in the range of ₹2 to ₹5 crore might be impacted and even investors might put their decision to sell on hold. Investors will now wait and watch before exiting from the property market now. Having said this, it depends on individual investment goals,” said Ritesh Mehta, Senior Director, and Head (North and West), residential services and developer initiative, JLL India, a real estate consultancy firm.

""However, it also depends on how the Indian stock market performs in the coming months. Real estate transactions are also connected with the performance of the Indian stock market,"" he added.

Another expert not wishing to be named said, ""The mid-segment and luxury segment of Mumbai real estate market is already overheated and is likely to cool off in the coming months. While we cannot say that there will be a drastic downfall, the market will reflect these changes.""

""The state of Maharashtra is expected to go for polls in the next two to three months and hence there will not be too many transactions by investors. Investors, including developers, are in a wait-and-watch mode and therefore we may see some stagnancy. While we do not see any slowdown and properties are getting registered, we have to understand that these deals were finalized in the last 90 days. Typically, the real impact of removal of the indexation benefit may be felt over the next six to nine months.""

On an average, the Mumbai real estate market has reported over 10,000 property registrations on a monthly basis of which 80% of the property registrations are in the residential segment. Experts opine that out of these 80%, a significant portion of homebuying happens on account of buyers upgrading their homes, especially post Covid-19.
Higher taxation may lead to short term disruption in the secondary real estate market
Vivek Rathi, National Director, Research, Knight Frank India, a real estate consultancy firm said, ""There could be a short term impact where the market adjusts itself to the new reality. Eventually market conditions are expected to normalize. There might be a short-term adjustment period as the market adapts to the new conditions. However, market conditions are expected to stabilize over time.""

Rathi added that if the property's value has risen more than the inflation rate, the new 12.5% tax rate is likely to be more favorable for real estate sellers compared to the previous 20% rate after adjusting for indexation.
What does removal of indexation benefit mean for plotted developments?
Investments in plotted developments picked up post Covid-19. However, real estate developers are of the opinion that the impact of changes in LTCG on plotted developments or other real estate segments is similar.

""The House of Abhinandan Lodha (HoABL) has been offering plotted developments for the past three years, and our advice to our customers has been to buy land if you plan to hold it for more than 10 years. However, if investors seek an early exit to meet any contingencies, the reduced LTCG rate from 20% to 12.5%, along with the shortened holding period from three years to two years, makes exit more attractive. While we still recommend long-term holdings, these changes offer greater flexibility for investors,"" said Abhinandan Lodha, chairman, HoABL.

On the impact of removal of indexation benefit on vertical developments, Abhinandan Lodha said that the “vertical real estate market, particularly in metros, has generally provided single-digit compounded returns and hence investors and HNIs looking to exit now will benefit from the reduced tax rate of 12.5%."""
2024-08-05 5:24:14,en,financialexpress.com,2024-08-05,Union Budget 2024: Impact of proposals and tax changes on propensity to save,https://www.financialexpress.com/budget/union-budget-2024-impact-of-proposals-and-tax-changes-on-propensity-to-save-3573756/,Center,Center-Left,Oped,"Every year, the finance minister presents a Union budget, which is not only a fiscal arithmetic but also a powerful and potent tool to allocate scarce resources to different sectors. It influences the different vectors of aggregate demand: Consumption, Investment, Government Expenditure, and Net Exports. The implicit and underpinning outcome of the union budget which is often not articulated is a default choice architecture of these public policies, that it creates for the public. All public policies provide a nudge in banning undesirable outcomes, (huge tax incidence on cigarettes) while promoting desirable ones (incentivising savings), channelising investments for underdeveloped regions, or even to promote balanced growth. One of the central themes of public finance and union budget is its ability to save and invest. Taxation plays a defining role in people’s ability and inclination to save and invest.

Tax Provisions
From time to time various tax provisions first enunciated in the budget, have provided tax rebates and exemption to the public. Section 88 allowed individuals to claim tax under PPF, NSC, life insurance premiums, Infrastructure bonds, and the like. This was supplemented by Section 80C, which expanded more options for the public to invest. Section 80C was the proverbial nudge to consumers to increase propensity to save and invest.
A tax prayer could claim exemption until Rs. 1.5 lakhs. There has been a steady rise in the number of tax payers from 2.69 crores in 2005-06 to 3.36 crores in 2013 to 6.77 crores on 31 July 2023, and many of these tax payers have enjoyed exemptions. Further, Income Tax provisions also helped tax payers to avail deductions for interest on home loans. Section 80EEA of theIncome Tax Act, 1961, came into effect from April 1, 2020. It allows a deduction for interest on a loan taken for specific house property. The Indian government provides tax benefits on home loans, primarily through deductions on the principal repayment and interest payment components. These tax incentives reduce the overall cost of homeownership, making it more affordable to borrowers.

Fig 1: Tax deductions allowed for home ownership

Section 80C	Tax Deduction on Principal Repayment	Up to Rs.1,50,000
Section 24B	Tax Deduction on Interest Paid	Up to Rs.2,00,000
Source: Mordorintelligence.com
According to Reserve Bank’s data, credit outstanding to the housing sector, primarily comprising home loans, has increased significantly by Rs 10 lakh crore during the last two years to a staggering Rs 27.22 lakh crore as of March 2024, marking a noteworthy rise from Rs 17.26 lakh crore recorded at the end of March 2022.
The July 2024 budget has changed all that. It has removed the indexation benefit available to asset classes like real estate and brought down the capital gains tax to 12.5% from the 20% with indexation available earlier.

This has ignited a debate on the purpose behind the government’s move, and its impact.

Impact of LTCG
A BankBazaar study used RBI’s House Price Index data for 10 major cities and found out that LTCG taxes on an average, increases 2.9 times without the indexation benefit. This study is based on RBI’s House Price Index (2011-2024) and the Cost Inflation Index. This report showed that without indexation, the long-term capital gains taxes rise significantly for all holding periods. The simulated holding periods for LTCG calculations in the study, range from 2 years to 13 years ending in March 2024. The report also shows that longer holding periods correlate with higher taxes with or without indexation. With indexation, the taxes are comparatively higher.
Another finding of the report is that the average indexed tax on LTCG in these 13 years (2010-2023) is 3.90. The report also shows that this average non-indexed tax rises 2.90 times to 11.34, implying additional taxes of 7.44. The report suggests that all taxes with indexation were 0 from 2016-17 whereas without indexation, the taxes rose considerably with values of 3.02 to 8.70. The report shows that because of indexation, there is no long-term capital gains from 2016-17. These seven years show long-term capital losses. Therefore, despite the 20 percent tax rate, the investor’s tax liability would be zero in these years. However, without indexation, there are huge leaps in the LTCG for all years including from 2016-17.

Impact on Savings
An NIPFP study estimates the effect of being in a taxable income bracket on the probability of having investments in specific financial products. They do this by examining portfolio formation using the CMIE Consumer Pyramids Household Survey Data for 2016–173. They find that the probability of investments in tax-favoured financial products is higher for households that are taxed. A disaggregated analysis of salaried households suggests that the tax-incentivised impact on saving is highest for salaried households in the income bracket of Rs 350,000 to Rs 500,000.

For households not subject to tax liability, household characteristics drive the probability of investments in insurance products. Thus, while aggregate financial saving has remained stable, tax breaks have been influential in driving savings into specific products, such as insurance and pensions. Till recently, physical savings of households were increasing. Now, with this new change in Long Term Capital Gains, there will be an impact.
An appraisal of a capital gains tax includes particularly its effect on investment. Investment is one of the most important variables in economic development, and capital gains taxation is directly related to the supply of savings, the composition of investments, and the mobility of capital.

Conclusion
The union budget in the last few decades has played a defining role in providing through its provisions a discernible nudge to build public savings, the tax incentives due to savings have been provided across all asset classes,  the PPF savings which are tax exempt indirectly support the bond markets, since a great chunk goes in investment in government securities. Other tax provisions have given tax exemptions in Equity-linked schemes. ULIPs are a dual instrument to help to insure and save. In few years reality sector got a boost, where money from the sale of property was incentivised to be invested back in the realty sector. Exempting interest on housing loans from taxation, and provision of tax treatment of repaying principal amount to be included for tax exemption. All this has helped real estate as an asset class to grow. 

The history of incentivising savings, has since decades inculcated the habit of thrift among middle-class and lower-middle-class Indians. This has been the anchor and nest egg for the working-class population of India.  Unlike the developed world, there exists no social security mechanism to buffer the middle class and poor. At best by incentivising savings the government nudged and encouraged the propensity to save. However, the new tax provision provides no such incentives. A demographic dividend where a large population is entering the workforce, will be left with no nudge to save is a failing indeed."
